county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Dade County,GARY JOHNSON (LIB),145,7,74,0,226,"November 8, 2016",2016,6242,3.620634412047421
Dawson County,DONALD J. TRUMP (REP),2423,422,7039,16,9900,"November 8, 2016",2016,11704,84.58646616541353
Dawson County,HILLARY CLINTON (DEM),379,107,958,4,1448,"November 8, 2016",2016,11704,12.371838687628161
Dawson County,GARY JOHNSON (LIB),157,14,185,0,356,"November 8, 2016",2016,11704,3.041695146958305
Decatur County,DONALD J. TRUMP (REP),2242,284,3483,11,6020,"November 8, 2016",2016,10270,58.61733203505355
Decatur County,HILLARY CLINTON (DEM),1798,240,2066,20,4124,"November 8, 2016",2016,10270,40.15579357351509
Decatur County,GARY JOHNSON (LIB),64,8,53,1,126,"November 8, 2016",2016,10270,1.2268743914313536
DeKalb County,DONALD J. TRUMP (REP),22867,3886,24669,46,51468,"November 8, 2016",2016,312504,16.469549189770373
DeKalb County,HILLARY CLINTON (DEM),90473,11786,148684,427,251370,"November 8, 2016",2016,312504,80.43737040165885
DeKalb County,GARY JOHNSON (LIB),5335,438,3875,18,9666,"November 8, 2016",2016,312504,3.0930804085707706
Dodge County,DONALD J. TRUMP (REP),2732,235,2054,0,5021,"November 8, 2016",2016,6998,71.74907116318948
Dodge County,HILLARY CLINTON (DEM),940,97,800,2,1839,"November 8, 2016",2016,6998,26.278936839096882
Dodge County,GARY JOHNSON (LIB),74,9,55,0,138,"November 8, 2016",2016,6998,1.9719919977136326
Dooly County,DONALD J. TRUMP (REP),815,68,1059,9,1951,"November 8, 2016",2016,3859,50.55713915522156
Dooly County,HILLARY CLINTON (DEM),1026,109,728,9,1872,"November 8, 2016",2016,3859,48.50997667789583
Dooly County,GARY JOHNSON (LIB),19,4,12,1,36,"November 8, 2016",2016,3859,0.932884166882612
Dougherty County,DONALD J. TRUMP (REP),5917,514,3796,5,10232,"November 8, 2016",2016,34018,30.078193897348466
Dougherty County,HILLARY CLINTON (DEM),11877,1063,10289,82,23311,"November 8, 2016",2016,34018,68.52548650714327
Dougherty County,GARY JOHNSON (LIB),306,31,137,1,475,"November 8, 2016",2016,34018,1.3963195955082603
Douglas County,DONALD J. TRUMP (REP),7655,1198,15952,12,24817,"November 8, 2016",2016,57416,43.22314337466908
Douglas County,HILLARY CLINTON (DEM),10769,1148,19059,29,31005,"November 8, 2016",2016,57416,54.00062700292602
Douglas County,GARY JOHNSON (LIB),737,63,794,0,1594,"November 8, 2016",2016,57416,2.7762296224049043
Early County,DONALD J. TRUMP (REP),1093,140,1319,0,2552,"November 8, 2016",2016,4785,53.333333333333336
Early County,HILLARY CLINTON (DEM),1087,213,867,1,2168,"November 8, 2016",2016,4785,45.30825496342737
Early County,GARY JOHNSON (LIB),34,7,24,0,65,"November 8, 2016",2016,4785,1.3584117032392893
Echols County,DONALD J. TRUMP (REP),395,38,574,0,1007,"November 8, 2016",2016,1176,85.62925170068027
Echols County,HILLARY CLINTON (DEM),62,2,92,0,156,"November 8, 2016",2016,1176,13.26530612244898
Echols County,GARY JOHNSON (LIB),6,1,6,0,13,"November 8, 2016",2016,1176,1.1054421768707483
Effingham County,DONALD J. TRUMP (REP),8084,432,9351,7,17874,"November 8, 2016",2016,23406,76.36503460651114
Effingham County,HILLARY CLINTON (DEM),2360,213,2279,1,4853,"November 8, 2016",2016,23406,20.73399982910365
Effingham County,GARY JOHNSON (LIB),399,24,256,0,679,"November 8, 2016",2016,23406,2.9009655643852006
Elbert County,DONALD J. TRUMP (REP),1979,272,3018,23,5292,"November 8, 2016",2016,7970,66.39899623588457
Elbert County,HILLARY CLINTON (DEM),892,194,1421,32,2539,"November 8, 2016",2016,7970,31.856963613550814
Elbert County,GARY JOHNSON (LIB),62,13,61,3,139,"November 8, 2016",2016,7970,1.7440401505646173
Emanuel County,DONALD J. TRUMP (REP),2776,217,2337,5,5335,"November 8, 2016",2016,7845,68.0050987890376
Emanuel County,HILLARY CLINTON (DEM),1326,114,993,2,2435,"November 8, 2016",2016,7845,31.03887826641173
Emanuel County,GARY JOHNSON (LIB),40,4,31,0,75,"November 8, 2016",2016,7845,0.9560229445506693
Evans County,DONALD J. TRUMP (REP),675,122,1607,0,2404,"November 8, 2016",2016,3602,66.74069961132703
Evans County,HILLARY CLINTON (DEM),410,60,660,0,1130,"November 8, 2016",2016,3602,31.371460299833426
Evans County,GARY JOHNSON (LIB),26,3,39,0,68,"November 8, 2016",2016,3602,1.8878400888395337
Fannin County,DONALD J. TRUMP (REP),4326,621,4676,9,9632,"November 8, 2016",2016,11777,81.78653307293878
Fannin County,HILLARY CLINTON (DEM),634,204,1082,3,1923,"November 8, 2016",2016,11777,16.32843678356118
Fannin County,GARY JOHNSON (LIB),107,20,95,0,222,"November 8, 2016",2016,11777,1.8850301435000425
Fayette County,DONALD J. TRUMP (REP),10790,1625,22626,7,35048,"November 8, 2016",2016,60435,57.99288491768016
