,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
214,Harris County,HILLARY CLINTON (DEM),"1,733",225,"2,128",0,"4,086","November 8, 2016",2016
215,Harris County,GARY JOHNSON (LIB),200,23,156,0,379,"November 8, 2016",2016
216,Hart County,DONALD J. TRUMP (REP),"3,047",297,"3,941",1,"7,286","November 8, 2016",2016
217,Hart County,HILLARY CLINTON (DEM),"1,019",182,"1,384",0,"2,585","November 8, 2016",2016
218,Hart County,GARY JOHNSON (LIB),106,10,93,0,209,"November 8, 2016",2016
219,Heard County,DONALD J. TRUMP (REP),"1,818",196,"1,355",1,"3,370","November 8, 2016",2016
220,Heard County,HILLARY CLINTON (DEM),351,70,321,1,743,"November 8, 2016",2016
221,Heard County,GARY JOHNSON (LIB),60,6,27,0,93,"November 8, 2016",2016
222,Henry County,DONALD J. TRUMP (REP),"11,669","1,771","32,218",66,"45,724","November 8, 2016",2016
223,Henry County,HILLARY CLINTON (DEM),"13,630","1,645","34,664",118,"50,057","November 8, 2016",2016
224,Henry County,GARY JOHNSON (LIB),"1,026",106,"1,364",9,"2,505","November 8, 2016",2016
225,Houston County,DONALD J. TRUMP (REP),"10,481","1,478","23,416",55,"35,430","November 8, 2016",2016
226,Houston County,HILLARY CLINTON (DEM),"7,537","1,085","13,860",71,"22,553","November 8, 2016",2016
227,Houston County,GARY JOHNSON (LIB),791,99,861,10,"1,761","November 8, 2016",2016
228,Irwin County,DONALD J. TRUMP (REP),"1,290",76,"1,345",5,"2,716","November 8, 2016",2016
229,Irwin County,HILLARY CLINTON (DEM),397,40,454,0,891,"November 8, 2016",2016
230,Irwin County,GARY JOHNSON (LIB),26,3,29,0,58,"November 8, 2016",2016
231,Jackson County,DONALD J. TRUMP (REP),"7,758",620,"13,376",30,"21,784","November 8, 2016",2016
232,Jackson County,HILLARY CLINTON (DEM),"1,661",152,"2,656",22,"4,491","November 8, 2016",2016
233,Jackson County,GARY JOHNSON (LIB),402,27,405,0,834,"November 8, 2016",2016
234,Jasper County,DONALD J. TRUMP (REP),"1,678",210,"2,465",7,"4,360","November 8, 2016",2016
235,Jasper County,HILLARY CLINTON (DEM),554,162,828,0,"1,544","November 8, 2016",2016
236,Jasper County,GARY JOHNSON (LIB),59,8,52,0,119,"November 8, 2016",2016
