county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Greene County,Donald J. Trump (Rep),"6,721","1,126",367,1,"8,215"
Greene County,Kamala D. Harris (Dem),"3,049","1,046",419,0,"4,514"
Greene County,Chase Oliver (Lib),28,16,1,0,45
Greene County,Jill Stein (Grn),8,4,0,0,12
Gwinnett County,Donald J. Trump (Rep),"121,789","43,696","7,411",145,"173,041"
Gwinnett County,Kamala D. Harris (Dem),"172,987","53,011","16,303",206,"242,507"
Gwinnett County,Chase Oliver (Lib),"1,096",724,102,1,"1,923"
Gwinnett County,Jill Stein (Grn),"1,582","1,447",178,3,"3,210"
Habersham County,Donald J. Trump (Rep),"15,428","3,027",680,7,"19,142"
Habersham County,Kamala D. Harris (Dem),"2,859",801,376,0,"4,036"
Habersham County,Chase Oliver (Lib),42,19,2,0,63
Habersham County,Jill Stein (Grn),19,19,1,0,39
Hall County,Donald J. Trump (Rep),"56,205","14,105","2,671",10,"72,991"
Hall County,Kamala D. Harris (Dem),"19,216","6,493","2,618",20,"28,347"
Hall County,Chase Oliver (Lib),277,141,32,0,450
Hall County,Jill Stein (Grn),97,77,11,0,185
Hancock County,Donald J. Trump (Rep),978,324,61,1,"1,364"
Hancock County,Kamala D. Harris (Dem),"1,545",907,410,2,"2,864"
Hancock County,Chase Oliver (Lib),3,3,1,0,7
Hancock County,Jill Stein (Grn),1,2,2,0,5
Haralson County,Donald J. Trump (Rep),"9,060","4,793",386,0,"14,239"
Haralson County,Kamala D. Harris (Dem),"1,247",634,184,0,"2,065"
Haralson County,Chase Oliver (Lib),17,21,1,0,39
Haralson County,Jill Stein (Grn),10,10,1,0,21
Harris County,Donald J. Trump (Rep),"10,863","4,870",541,9,"16,283"
Harris County,Kamala D. Harris (Dem),"3,733","1,692",549,2,"5,976"
Harris County,Chase Oliver (Lib),32,23,6,0,61
Harris County,Jill Stein (Grn),15,16,2,0,33
Hart County,Donald J. Trump (Rep),"8,070","2,669",325,0,"11,064"
Hart County,Kamala D. Harris (Dem),"2,047",866,297,0,"3,210"
Hart County,Chase Oliver (Lib),23,18,1,0,42
Hart County,Jill Stein (Grn),9,5,1,0,15
Heard County,Donald J. Trump (Rep),"3,148","1,947",240,0,"5,335"
Heard County,Kamala D. Harris (Dem),456,293,109,1,859
Heard County,Chase Oliver (Lib),8,5,1,0,14
